dataset,source,n,d,IR,R_mean,R_std,R_n_mean,R_n_std,R_p_mean,R_p_std,R_g_mean,R_g_std,C_mean,C_std,pct_arch_A,pct_arch_C,archetype_label,archetype_main_label,pct_comp_O,pct_comp_B,pct_comp_D,compensation_label,compensation_main_label
glass5,KEEL,214,9,22.778,0.2931,0.0355,0.0439,0.0025,7.7938,0.8228,1.3176,0.3073,0.6978,0.2169,83.3,16.7,AC,A,0.0,0.0,100.0,D,D
yeast-2_vs_8,KEEL,482,8,23.1,0.4306,0.0802,0.0433,0.0001,3.2986,0.5849,3.9588,0.1171,0.7683,0.1243,100.0,0.0,A,A,0.0,0.0,100.0,D,D
car_eval_4,imblearn,1728,21,25.585,0.9058,0.0249,0.0391,0.0,23.1732,0.6364,1.0003,0.0042,0.9998,0.0033,56.7,43.3,AC,A,0.0,3.3,96.7,DB,D
wine_quality,imblearn,4898,11,25.765,0.2095,0.019,0.0388,0.0001,3.1672,0.2208,1.8464,0.0904,0.9234,0.0415,100.0,0.0,A,A,0.0,0.0,100.0,D,D
letter_img,imblearn,20000,16,26.248,0.3926,0.0073,0.0381,0.0,11.7199,0.1791,0.96,0.0078,0.916,0.0075,0.0,100.0,C,C,0.0,0.0,100.0,D,D
yeast_me2,imblearn,1484,8,28.098,0.2426,0.0232,0.0356,0.0004,6.1585,0.6113,1.4834,0.1592,0.763,0.1455,100.0,0.0,A,A,0.0,0.0,100.0,D,D
yeast-1-2-8-9_vs_7,KEEL,947,8,30.567,0.2589,0.0431,0.0327,0.0,3.763,0.4761,1.0811,0.098,1.9494,0.1838,80.0,20.0,AC,A,0.0,0.0,100.0,D,D
yeast5,KEEL,1484,8,32.727,0.6014,0.0483,0.0306,0.0004,16.8749,0.9851,1.8771,0.0838,0.6216,0.025,100.0,0.0,A,A,0.0,0.0,100.0,D,D
ozone_level,imblearn,2536,72,33.74,0.3517,0.0218,0.0296,0.0003,11.0125,0.7041,0.8927,0.0196,1.2077,0.025,0.0,100.0,C,C,0.0,0.0,100.0,D,D
webpage,imblearn,34780,300,34.454,0.5851,0.0406,0.029,0.0,11.1154,0.3501,11.6326,0.2278,0.1558,0.0075,100.0,0.0,A,A,0.0,0.0,100.0,D,D
ecoli-0-1-3-7_vs_2-6,KEEL,281,7,39.143,0.6254,0.1218,0.0256,0.0023,9.6857,2.4273,4.7963,0.7818,0.5475,0.0748,100.0,0.0,A,A,3.3,0.0,96.7,DO,D
abalone-17_vs_7-8-9-10,KEEL,2338,10,39.31,0.2141,0.0347,0.0254,0.0003,6.5633,0.5519,1.7566,0.1322,0.731,0.0866,100.0,0.0,A,A,0.0,0.0,100.0,D,D
abalone-21_vs_8,KEEL,581,10,40.5,0.6064,0.1114,0.0247,0.0009,12.0573,1.9777,3.6025,0.3495,0.5708,0.0682,100.0,0.0,A,A,0.0,0.0,100.0,D,D
yeast6,KEEL,1484,8,41.4,0.3044,0.0276,0.0242,0.0,11.8807,0.9269,1.3044,0.0461,0.8141,0.0467,100.0,0.0,A,A,0.0,0.0,100.0,D,D
mammography,imblearn,11183,6,42.012,0.5068,0.0428,0.0238,0.0,10.6456,0.361,5.6791,0.2472,0.3531,0.0343,100.0,0.0,A,A,0.0,0.0,100.0,D,D
abalone-19_vs_10-11-12-13,KEEL,1622,10,49.688,0.0464,0.0091,0.0201,0.0004,2.5065,0.2864,0.8188,0.0585,1.1138,0.0971,0.0,100.0,C,C,0.0,0.0,100.0,D,D
abalone-20_vs_8-9-10,KEEL,1916,10,72.692,0.2061,0.044,0.0138,0.0003,13.9556,1.3055,1.5281,0.1448,0.7001,0.1014,100.0,0.0,A,A,0.0,0.0,100.0,D,D
protein_homo,imblearn,145751,74,111.462,0.3445,0.0211,0.009,0.0,23.8759,0.6356,12.646,0.2428,0.1273,0.008,100.0,0.0,A,A,0.0,0.0,100.0,D,D
abalone_19,imblearn,4177,10,129.531,0.019,0.0037,0.0077,0.0002,2.5774,0.2732,0.9812,0.0842,0.9634,0.0774,50.0,50.0,CA,C,0.0,0.0,100.0,D,D
